CustomerID,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
12386,2011-01-06 12:37:00,2,401.9,338,1,2,2,5,Needs Attention
12388,2011-11-24 12:30:00,6,2780.66,16,4,4,4,12,Champions
12390,2011-09-21 09:33:00,1,504.84000000000003,80,2,1,2,5,Needs Attention
12391,2011-11-18 12:07:00,1,460.89,22,3,1,2,6,Promising
12393,2011-09-28 15:41:00,4,1582.6000000000001,72,2,3,3,8,At Risk
12394,2011-10-07 08:08:00,2,1080.48,64,2,2,3,7,Needs Attention
12395,2011-11-20 15:21:00,12,2682.63,19,3,4,4,11,Loyal
12397,2011-11-04 09:52:00,2,2214.9,36,3,2,4,9,Promising
12398,2011-10-25 10:27:00,1,1435.66,46,3,1,3,7,Promising
12399,2011-08-12 13:15:00,4,1033.65,119,2,3,3,8,At Risk
12401,2011-02-09 13:50:00,1,69.3,303,1,1,1,3,Lost
12402,2011-01-20 13:49:00,1,195.6,323,1,1,1,3,Lost
12403,2011-10-21 10:51:00,1,391.7,50,3,1,2,6,Promising
12405,2011-07-14 08:52:00,1,1390.39,149,1,1,3,5,Lost
12406,2011-11-17 19:22:00,2,3415.3,22,3,2,4,9,Promising
12407,2011-10-21 10:11:00,5,1507.1200000000001,50,3,3,3,9,Loyal
12408,2011-11-07 12:27:00,5,2618.55,33,3,3,4,10,Loyal
12409,2011-09-22 10:38:00,3,11072.67,79,2,3,4,9,At Risk
12410,2011-02-04 10:39:00,2,533.33,309,1,2,2,5,Needs Attention
12412,2011-09-26 10:16:00,3,1142.88,75,2,3,3,8,At Risk
12413,2011-10-04 09:00:00,3,686.1,67,2,3,3,8,At Risk
12414,2011-05-06 14:51:00,3,442.41,217,1,3,2,6,At Risk
12415,2011-11-15 14:22:00,20,124564.53,24,3,4,4,11,Loyal
12417,2011-12-06 14:52:00,9,3226.1,3,4,4,4,12,Champions
12418,2011-08-19 11:08:00,1,668.58,113,2,1,3,6,Needs Attention
12420,2011-10-07 08:55:00,1,600.39,64,2,1,2,5,Needs Attention
12421,2011-11-24 09:07:00,4,639.04,16,4,3,2,9,Loyal
12422,2011-09-05 09:48:00,3,683.5600000000001,96,2,3,3,8,At Risk
12423,2011-12-09 10:10:00,8,1634.31,1,4,4,4,12,Champions
12424,2011-06-30 12:06:00,2,1760.96,163,1,2,4,7,Needs Attention
12425,2011-09-22 17:31:00,1,777.2,78,2,1,3,6,Needs Attention
12426,2011-05-29 12:26:00,1,510.73,195,1,1,2,4,Lost
12427,2011-11-18 08:56:00,3,699.8,22,3,3,3,9,Loyal
12428,2011-11-14 08:22:00,8,6405.26,26,3,4,4,11,Loyal
12429,2011-11-30 17:22:00,4,3388.4,9,4,3,4,11,Loyal
12430,2011-10-27 15:09:00,1,216.4,43,3,1,1,5,Promising
12431,2011-11-04 11:55:00,15,6382.45,36,3,4,4,11,Loyal
12432,2011-10-28 11:43:00,4,4359.32,43,3,3,4,10,Loyal
12433,2011-12-09 10:02:00,7,13375.87,1,4,4,4,12,Champions
12434,2011-09-16 12:38:00,2,806.14,85,2,2,3,7,Needs Attention
12435,2011-09-21 09:06:00,2,7829.89,80,2,2,4,8,Needs Attention
12436,2011-09-01 12:09:00,1,429.01000000000005,100,2,1,2,5,Needs Attention
12437,2011-12-08 11:35:00,18,4447.41,2,4,4,4,12,Champions
12438,2011-11-25 13:28:00,2,2466.85,14,4,2,4,10,Promising
12441,2010-12-08 10:45:00,1,155.55,367,1,1,1,3,Lost
12442,2011-12-06 14:22:00,1,144.06,3,4,1,1,6,Promising
12444,2011-11-18 13:23:00,5,4085.46,21,3,3,4,10,Loyal
12445,2011-11-17 18:43:00,1,77.4,22,3,1,1,5,Promising
12446,2011-10-13 12:50:00,1,1002.3100000000001,58,2,1,3,6,Needs Attention
12447,2011-04-10 13:25:00,1,431.49,243,1,1,2,4,Lost
12448,2011-10-26 13:46:00,1,365.45,44,3,1,2,6,Promising
12449,2011-11-17 13:46:00,4,3596.29,22,3,3,4,10,Loyal
12450,2011-07-06 14:41:00,2,197.88,156,1,2,1,4,Needs Attention
12451,2011-11-29 08:40:00,5,8995.52,11,4,3,4,11,Loyal
12452,2011-11-23 08:05:00,1,348.57,17,4,1,2,7,Promising
12453,2011-07-28 14:08:00,1,707.09,134,2,1,3,6,Needs Attention
12454,2011-10-14 17:13:00,1,3528.34,56,2,1,4,7,Needs Attention
12455,2011-09-27 15:31:00,5,2339.86,73,2,3,4,9,At Risk
12456,2011-10-26 14:41:00,3,2581.04,44,3,3,4,10,Loyal
12457,2011-10-04 13:13:00,6,2043.23,66,2,4,4,10,At Risk
12458,2011-09-29 15:25:00,2,787.4,71,2,2,3,7,Needs Attention
12461,2011-07-08 10:23:00,1,626.88,155,1,1,2,4,Lost
12462,2011-11-21 09:11:00,2,937.59,19,3,2,3,8,Promising
12463,2011-10-17 13:44:00,4,1200.78,53,2,3,3,8,At Risk
12464,2011-11-29 13:33:00,8,957.05,10,4,4,3,11,Loyal
12465,2011-11-22 16:34:00,2,682.1899999999999,17,4,2,3,9,Promising
12468,2011-06-05 11:36:00,2,657.54,188,1,2,2,5,Needs Attention
12471,2011-12-07 15:43:00,27,17424.05,2,4,4,4,12,Champions
12472,2011-11-07 14:01:00,7,6068.11,32,3,4,4,11,Loyal
12473,2011-10-17 11:27:00,3,2596.23,54,2,3,4,9,At Risk
12474,2011-11-22 14:39:00,18,6745.79,17,4,4,4,12,Champions
12475,2011-10-17 10:10:00,1,669.38,54,2,1,3,6,Needs Attention
12476,2011-11-24 12:40:00,11,5898.42,16,4,4,4,12,Champions
12477,2011-11-17 09:51:00,6,13219.74,23,3,4,4,11,Loyal
12478,2011-12-06 09:56:00,1,545.99,4,4,1,2,7,Promising
12479,2011-11-28 13:26:00,1,473.2,11,4,1,2,7,Promising
12480,2011-11-11 14:52:00,4,2885.63,28,3,3,4,10,Loyal
12481,2011-11-17 08:29:00,10,5020.32,23,3,4,4,11,Loyal
12483,2011-11-22 17:02:00,8,1910.98,17,4,4,4,12,Champions
12484,2011-11-04 15:18:00,4,3953.72,35,3,3,4,10,Loyal
12488,2011-11-30 08:50:00,3,1244.66,10,4,3,3,10,Loyal
12489,2011-01-07 13:13:00,1,298.93,336,1,1,1,3,Lost
12490,2011-12-04 16:07:00,10,4859.93,5,4,4,4,12,Champions
12491,2011-11-01 12:18:00,1,424.40000000000003,39,3,1,2,6,Promising
12492,2011-10-07 15:15:00,2,227.21,63,2,2,1,5,Needs Attention
12493,2011-06-27 10:17:00,2,415.74,166,1,2,2,5,Needs Attention
12494,2011-11-24 09:34:00,7,1084.1000000000001,16,4,4,3,11,Loyal
12497,2011-09-19 12:29:00,1,953.1,82,2,1,3,6,Needs Attention
12498,2011-11-18 12:53:00,3,349.70000000000005,21,3,3,2,8,Loyal
12500,2011-11-16 16:20:00,11,4059.82,23,3,4,4,11,Loyal
12501,2011-01-07 12:28:00,1,2025.39,337,1,1,4,6,Lost
12502,2011-09-05 11:52:00,5,2995.87,96,2,3,4,9,At Risk
12504,2011-11-21 16:02:00,2,428.04999999999995,18,4,2,2,8,Promising
12506,2011-04-21 08:54:00,1,73.5,233,1,1,1,3,Lost
12507,2011-07-28 17:09:00,3,1052.81,134,2,3,3,8,At Risk
12508,2011-11-13 15:37:00,2,398.27,26,3,2,2,7,Promising
12509,2011-02-28 14:45:00,1,158.5,284,1,1,1,3,Lost
12510,2011-07-20 10:15:00,2,814.5699999999999,143,2,2,3,7,Needs Attention
12512,2011-10-04 14:55:00,2,138.03,66,2,2,1,5,Needs Attention
12513,2011-08-19 10:51:00,1,558.29,113,2,1,2,5,Needs Attention
12514,2011-03-17 16:38:00,1,1017.68,267,1,1,3,5,Lost
12515,2010-12-21 15:43:00,1,278.7,353,1,1,1,3,Lost
12516,2011-09-23 09:13:00,2,1186.06,78,2,2,3,7,Needs Attention
12517,2011-11-11 13:57:00,4,2322.84,28,3,3,4,10,Loyal
12518,2011-12-09 10:13:00,5,1840.89,1,4,3,4,11,Loyal
12519,2011-10-07 09:26:00,1,286.84,64,2,1,1,4,Needs Attention
12520,2011-09-21 15:23:00,5,2346.2599999999998,79,2,3,4,9,At Risk
12521,2011-07-20 10:51:00,1,545.68,143,2,1,2,5,Needs Attention
12522,2011-10-31 15:30:00,2,156.72,39,3,2,1,6,Promising
12523,2011-11-20 12:55:00,11,1699.77,19,3,4,4,11,Loyal
12524,2011-11-30 15:31:00,8,3945.72,9,4,4,4,12,Champions
12526,2011-12-09 12:09:00,3,1172.66,1,4,3,3,10,Loyal
12527,2011-09-19 11:55:00,3,330.71000000000004,82,2,3,2,7,At Risk
12528,2011-11-30 14:40:00,6,1645.48,9,4,4,4,12,Champions
12530,2011-10-11 12:34:00,4,1500.28,60,2,3,3,8,At Risk
12531,2011-11-25 11:12:00,1,125.22,15,4,1,1,6,Promising
12532,2011-11-09 13:47:00,1,313.83000000000004,30,3,1,2,6,Promising
12534,2011-08-01 10:26:00,1,981.18,131,2,1,3,6,Needs Attention
12535,2011-09-09 08:48:00,2,716.35,92,2,2,3,7,Needs Attention
12536,2011-10-11 14:52:00,1,4279.71,59,2,1,4,7,Needs Attention
12538,2011-11-10 17:16:00,1,363.95,29,3,1,2,6,Promising
12539,2011-11-17 13:30:00,4,5568.35,22,3,3,4,10,Loyal
12540,2011-11-20 11:31:00,17,11580.24,20,3,4,4,11,Loyal
12541,2011-11-10 10:40:00,3,841.18,30,3,3,3,9,Loyal
12544,2011-11-03 16:15:00,1,316.7,36,3,1,2,6,Promising
12545,2011-09-25 13:39:00,2,832.39,75,2,2,3,7,Needs Attention
12546,2011-10-24 12:09:00,2,1021.5,47,3,2,3,8,Promising
12547,2011-05-26 12:38:00,2,151.79999999999998,198,1,2,1,4,Needs Attention
12548,2011-06-26 15:35:00,1,67.19999999999999,166,1,1,1,3,Lost
12550,2011-09-21 14:35:00,1,824.83,79,2,1,3,6,Needs Attention
12551,2010-12-17 11:23:00,1,168.0,358,1,1,1,3,Lost
12552,2011-10-31 12:11:00,1,317.82,40,3,1,2,6,Promising
12553,2011-12-01 16:38:00,10,3278.28,8,4,4,4,12,Champions
12556,2011-10-20 13:06:00,2,603.71,50,3,2,2,7,Promising
12557,2011-11-23 16:59:00,5,11990.960000000001,16,4,3,4,11,Loyal
12558,2011-12-02 10:41:00,1,269.96,8,4,1,1,6,Promising
12559,2011-02-02 09:49:00,2,525.71,311,1,2,2,5,Needs Attention
12560,2011-12-04 13:54:00,2,1918.01,5,4,2,4,10,Promising
12561,2011-02-10 11:39:00,1,238.85,303,1,1,1,3,Lost
12562,2011-12-01 17:20:00,7,3385.7400000000002,8,4,4,4,12,Champions
12564,2011-03-23 14:55:00,1,402.9,261,1,1,2,4,Lost
12565,2011-02-24 10:34:00,1,145.92,289,1,1,1,3,Lost
12566,2011-09-14 14:30:00,1,297.65,86,2,1,1,4,Needs Attention
12567,2011-11-17 11:02:00,10,8609.28,23,3,4,4,11,Loyal
12569,2011-12-07 16:24:00,32,3152.69,2,4,4,4,12,Champions
12571,2011-10-31 10:19:00,2,519.61,40,3,2,2,7,Promising
12572,2011-12-01 09:20:00,2,912.42,9,4,2,3,9,Promising
12573,2011-04-26 15:52:00,1,160.54000000000002,227,1,1,1,3,Lost
12574,2011-01-28 09:20:00,1,182.45000000000002,316,1,1,1,3,Lost
12576,2011-11-04 10:11:00,5,1315.83,36,3,3,3,9,Loyal
12577,2011-11-04 13:24:00,3,653.85,35,3,3,2,8,Loyal
12578,2011-11-18 13:30:00,2,2402.51,21,3,2,4,9,Promising
12579,2011-09-22 17:15:00,1,386.42,78,2,1,2,5,Needs Attention
12580,2011-04-07 10:24:00,1,379.7,247,1,1,2,4,Lost
12581,2011-10-31 08:56:00,1,179.71,40,3,1,1,5,Promising
12582,2011-04-15 08:45:00,2,351.36,239,1,2,2,5,Needs Attention
12583,2011-12-07 08:07:00,15,6705.38,3,4,4,4,12,Champions
12584,2011-12-06 09:35:00,9,2254.15,4,4,4,4,12,Champions
12585,2011-04-19 13:39:00,2,1824.1,234,1,2,4,7,Needs Attention
12586,2011-11-22 16:24:00,1,196.94000000000003,17,4,1,1,6,Promising
12587,2011-12-02 12:47:00,1,104.0,8,4,1,1,6,Promising
12588,2011-10-31 15:01:00,1,174.89999999999998,39,3,1,1,5,Promising
12589,2011-11-11 10:19:00,2,574.68,29,3,2,2,7,Promising
12590,2011-05-12 14:46:00,1,9341.26,211,1,1,4,6,Lost
12591,2011-01-26 14:35:00,1,368.85,317,1,1,2,4,Lost
12592,2011-09-08 15:04:00,2,401.6,92,2,2,2,6,Needs Attention
12593,2011-08-23 12:43:00,3,382.09999999999997,109,2,3,2,7,At Risk
12594,2011-11-02 12:20:00,9,3208.2200000000003,38,3,4,4,11,Loyal
12596,2011-10-19 13:02:00,2,450.27,51,3,2,2,7,Promising
12597,2011-11-20 13:33:00,4,3195.22,19,3,3,4,10,Loyal
12598,2011-11-30 12:18:00,7,2807.08,10,4,4,4,12,Champions
12599,2011-11-10 13:34:00,7,888.58,29,3,4,3,10,Loyal
12600,2011-11-11 10:29:00,10,2311.04,29,3,4,4,11,Loyal
12601,2011-06-03 10:17:00,5,487.06,190,1,3,2,6,At Risk
12602,2011-10-12 11:22:00,1,153.12,59,2,1,1,4,Needs Attention
12603,2011-11-18 10:42:00,1,613.1999999999999,22,3,1,2,6,Promising
12604,2011-09-21 14:08:00,2,236.18,79,2,2,1,5,Needs Attention
12607,2011-10-10 16:06:00,1,1579.51,60,2,1,3,6,Needs Attention
12609,2011-09-22 16:34:00,3,964.85,78,2,3,3,8,At Risk
12610,2011-11-17 09:34:00,4,1747.54,23,3,3,4,10,Loyal
12611,2011-10-18 13:12:00,1,1193.32,52,2,1,3,6,Needs Attention
12612,2011-09-26 15:35:00,1,668.0400000000001,74,2,1,2,5,Needs Attention
12613,2011-10-13 14:59:00,4,3092.38,57,2,3,4,9,At Risk
12614,2011-03-07 10:22:00,1,315.6,278,1,1,2,4,Lost
12615,2011-12-07 15:02:00,4,2093.19,2,4,3,4,11,Loyal
12616,2011-09-05 15:17:00,2,641.3,95,2,2,2,6,Needs Attention
12617,2011-11-10 14:39:00,1,355.53,29,3,1,2,6,Promising
12618,2011-11-18 11:10:00,1,137.31,22,3,1,1,5,Promising
12619,2011-11-23 14:52:00,8,2945.56,16,4,4,4,12,Champions
12620,2011-11-25 10:20:00,3,1303.41,15,4,3,3,10,Loyal
12621,2011-12-08 11:25:00,20,12411.67,2,4,4,4,12,Champions
12622,2011-04-21 16:39:00,1,162.1,232,1,1,1,3,Lost
12623,2011-03-08 13:50:00,1,269.1,276,1,1,1,3,Lost
12624,2011-08-25 15:04:00,2,569.13,106,2,2,2,6,Needs Attention
12625,2011-05-12 09:54:00,2,2413.82,212,1,2,4,7,Needs Attention
12626,2011-11-16 16:06:00,9,5954.48,23,3,4,4,11,Loyal
12627,2011-11-29 12:07:00,6,4082.53,11,4,4,4,12,Champions
12628,2011-12-05 13:15:00,3,732.46,4,4,3,3,10,Loyal
12630,2011-11-30 10:48:00,2,1030.88,10,4,2,3,9,Promising
12631,2011-10-13 13:53:00,1,480.5,57,2,1,2,5,Needs Attention
12633,2011-10-12 11:40:00,4,1929.98,59,2,3,4,9,At Risk
12635,2011-09-11 11:04:00,2,1509.18,90,2,2,3,7,Needs Attention
12637,2011-10-03 13:46:00,8,5823.9,67,2,4,4,10,At Risk
12638,2011-11-06 13:11:00,1,511.69,33,3,1,2,6,Promising
12639,2011-04-15 12:48:00,1,366.1,239,1,1,2,4,Lost
12640,2011-11-16 11:52:00,3,994.58,24,3,3,3,9,Loyal
12641,2011-08-16 13:26:00,1,145.9,115,2,1,1,4,Needs Attention
12642,2011-11-14 15:03:00,3,905.26,25,3,3,3,9,Loyal
12643,2011-08-03 12:56:00,6,3041.64,128,2,4,4,10,At Risk
12644,2011-08-02 10:33:00,1,477.91,130,2,1,2,5,Needs Attention
12645,2011-11-06 12:38:00,4,1631.18,34,3,3,3,9,Loyal
12646,2011-12-05 10:14:00,2,1346.97,5,4,2,3,9,Promising
12647,2011-11-17 12:56:00,12,3146.82,22,3,4,4,11,Loyal
12648,2011-07-08 11:55:00,1,300.05,155,1,1,1,3,Lost
12649,2011-08-24 14:41:00,3,569.51,107,2,3,2,7,At Risk
12650,2011-12-06 16:34:00,1,242.44000000000003,3,4,1,1,6,Promising
12651,2011-01-09 12:46:00,1,114.0,335,1,1,1,3,Lost
12652,2011-01-12 15:00:00,1,793.98,331,1,1,3,5,Lost
12653,2011-07-14 10:41:00,2,2209.85,149,1,2,4,7,Needs Attention
12654,2011-11-29 10:10:00,5,529.98,11,4,3,2,9,Loyal
12656,2011-11-22 13:42:00,5,3619.17,17,4,3,4,11,Loyal
12657,2011-11-28 15:47:00,4,1427.18,11,4,3,3,10,Loyal
12658,2011-11-21 10:22:00,1,632.05,19,3,1,2,6,Promising
12659,2011-11-10 11:53:00,1,73.68,30,3,1,1,5,Promising
12660,2011-11-28 13:26:00,1,227.1,11,4,1,1,6,Promising
12662,2011-12-09 11:59:00,11,3543.78,1,4,4,4,12,Champions
12664,2011-12-01 17:07:00,9,4391.88,8,4,4,4,12,Champions
12665,2011-01-19 08:34:00,1,45.0,325,1,1,1,3,Lost
12667,2011-10-12 17:00:00,1,460.13,58,2,1,2,5,Needs Attention
12668,2011-11-28 10:56:00,4,3177.15,12,4,3,4,11,Loyal
12669,2011-07-12 09:54:00,2,1427.73,151,1,2,3,6,Needs Attention
12670,2011-11-29 15:23:00,5,2744.05,10,4,3,4,11,Loyal
12672,2011-01-14 09:20:00,1,225.89999999999998,330,1,1,1,3,Lost
12673,2011-12-04 13:55:00,2,574.52,5,4,2,2,8,Promising
12674,2011-11-01 12:12:00,4,1844.6,39,3,3,4,10,Loyal
12676,2011-11-15 12:25:00,6,1091.39,25,3,4,3,10,Loyal
12678,2011-10-28 13:04:00,10,16481.46,42,3,4,4,11,Loyal
12679,2011-10-12 12:30:00,4,951.02,59,2,3,3,8,At Risk
12680,2011-12-09 12:50:00,4,790.81,1,4,3,3,10,Loyal
12681,2011-11-25 11:33:00,22,12365.54,15,4,4,4,12,Champions
12682,2011-12-06 10:00:00,31,11028.22,4,4,4,4,12,Champions
12683,2011-12-05 16:28:00,14,7612.57,4,4,4,4,12,Champions
12684,2011-12-02 09:53:00,6,2073.63,8,4,4,4,12,Champions
12685,2011-11-11 13:46:00,6,2575.08,28,3,4,4,11,Loyal
12686,2010-12-03 09:51:00,1,71.14,372,1,1,1,3,Lost
12688,2011-08-18 08:49:00,1,4873.8099999999995,114,2,1,4,7,Needs Attention
12689,2011-11-14 08:31:00,2,1139.61,26,3,2,3,8,Promising
12690,2011-05-18 09:09:00,1,335.01,206,1,1,2,4,Lost
12691,2011-11-11 16:49:00,5,927.8,28,3,3,3,9,Loyal
12693,2011-08-04 17:51:00,4,711.91,127,2,3,3,8,At Risk
12694,2011-09-30 13:06:00,2,761.67,70,2,2,3,7,Needs Attention
12695,2011-12-02 13:22:00,4,582.1,7,4,3,2,9,Loyal
12697,2011-11-11 08:47:00,3,757.59,29,3,3,3,9,Loyal
12700,2011-12-02 10:47:00,4,4525.99,8,4,3,4,11,Loyal
12701,2011-09-21 10:47:00,2,725.71,80,2,2,3,7,Needs Attention
12702,2011-11-20 10:36:00,1,201.0,20,3,1,1,5,Promising
12703,2011-09-29 17:52:00,1,265.55,71,2,1,1,4,Needs Attention
12704,2011-12-02 13:15:00,8,1740.84,7,4,4,4,12,Champions
12705,2011-11-24 13:17:00,8,6382.29,15,4,4,4,12,Champions
12707,2011-02-21 08:38:00,1,603.42,292,1,1,2,4,Lost
12708,2011-11-10 09:52:00,10,2442.91,30,3,4,4,11,Loyal
12709,2011-11-24 15:38:00,15,9430.52,15,4,4,4,12,Champions
12710,2011-09-04 12:00:00,3,1023.02,97,2,3,3,8,At Risk
12712,2011-11-11 08:19:00,13,3928.13,29,3,4,4,11,Loyal
12713,2011-12-09 12:16:00,1,794.55,1,4,1,3,8,Promising
12714,2011-11-30 15:43:00,5,4294.86,9,4,3,4,11,Loyal
12715,2011-08-25 15:22:00,1,273.86,106,2,1,1,4,Needs Attention
12716,2011-12-06 08:55:00,2,963.49,4,4,2,3,9,Promising
12717,2011-07-11 14:47:00,2,830.98,151,1,2,3,6,Needs Attention
12718,2011-09-29 16:38:00,1,202.25,71,2,1,1,4,Needs Attention
12719,2011-12-04 13:45:00,2,572.95,5,4,2,2,8,Promising
12720,2011-12-07 08:03:00,25,5115.7300000000005,3,4,4,4,12,Champions
12721,2011-11-08 12:13:00,6,2386.13,32,3,4,4,11,Loyal
12722,2011-09-15 14:50:00,4,979.63,85,2,3,3,8,At Risk
12723,2011-12-06 10:19:00,5,707.07,4,4,4,3,11,Loyal
12724,2011-12-04 16:02:00,4,923.41,5,4,3,3,10,Loyal
12725,2010-12-03 15:45:00,1,371.8,371,1,1,2,4,Lost
12726,2011-11-11 13:35:00,7,2411.1,28,3,4,4,11,Loyal
12727,2011-11-29 11:46:00,7,3440.7,11,4,4,4,12,Champions
12728,2011-09-29 15:31:00,4,728.33,71,2,3,3,8,At Risk
12729,2011-08-18 11:40:00,1,417.01,114,2,1,2,5,Needs Attention
12731,2011-11-16 11:59:00,12,18751.91,24,3,4,4,11,Loyal
12732,2011-06-13 11:33:00,1,218.26000000000002,180,1,1,1,3,Lost
12733,2011-04-19 16:19:00,1,383.95,234,1,1,2,4,Lost
12734,2010-12-22 12:47:00,1,110.39999999999999,353,1,1,1,3,Lost
12735,2011-01-28 13:37:00,2,689.5699999999999,315,1,2,3,6,Needs Attention
12736,2011-01-11 07:57:00,1,144.0,333,1,1,1,3,Lost
12738,2010-12-02 18:27:00,1,137.35,372,1,1,1,3,Lost
12739,2011-09-01 17:45:00,1,975.54,99,2,1,3,6,Needs Attention
12740,2011-10-07 10:44:00,1,427.6,64,2,1,2,5,Needs Attention
12743,2011-07-28 16:21:00,2,546.43,134,2,2,2,6,Needs Attention
12744,2011-10-14 14:54:00,4,9120.39,56,2,3,4,9,At Risk
12747,2011-12-07 14:34:00,11,4196.01,2,4,4,4,12,Champions
12748,2011-12-09 12:20:00,206,32317.32,1,4,4,4,12,Champions
12749,2011-12-06 09:56:00,5,4090.88,4,4,4,4,12,Champions
12750,2011-08-03 09:13:00,1,275.88,129,2,1,1,4,Needs Attention
12752,2011-09-19 13:32:00,1,4366.78,81,2,1,4,7,Needs Attention
12753,2011-11-17 10:52:00,6,21429.39,23,3,4,4,11,Loyal
12754,2011-04-18 09:00:00,3,3010.74,236,1,3,4,8,At Risk
12755,2011-03-04 12:42:00,2,3811.95,281,1,2,4,7,Needs Attention
12756,2011-09-14 09:31:00,1,112.07999999999998,87,2,1,1,4,Needs Attention
12757,2011-11-24 12:30:00,9,4199.2,16,4,4,4,12,Champions
12758,2011-08-15 10:22:00,2,2791.59,117,2,2,4,8,Needs Attention
12759,2011-10-18 14:49:00,3,1411.44,52,2,3,3,8,At Risk
12762,2011-12-02 10:23:00,2,1702.52,8,4,2,4,10,Promising
12763,2011-07-24 14:12:00,2,494.08,138,2,2,2,6,Needs Attention
12764,2011-01-27 10:19:00,1,1693.88,317,1,1,4,6,Lost
12766,2011-12-06 08:46:00,7,6457.63,4,4,4,4,12,Champions
12769,2011-04-15 10:25:00,1,1143.6,239,1,1,3,5,Lost
12770,2011-05-13 09:33:00,1,1351.45,211,1,1,3,5,Lost
12772,2011-10-11 09:19:00,1,752.47,60,2,1,3,6,Needs Attention
12775,2011-11-22 16:33:00,5,1281.04,17,4,4,3,11,Loyal
12778,2011-11-20 11:30:00,6,693.23,20,3,4,3,10,Loyal
12779,2011-11-02 11:43:00,8,3981.36,38,3,4,4,11,Loyal
12781,2011-10-07 10:37:00,2,786.74,64,2,2,3,7,Needs Attention
12782,2011-12-05 09:16:00,5,1938.92,5,4,4,4,12,Champions
12783,2011-12-07 15:56:00,4,1295.87,2,4,3,3,10,Loyal
12784,2011-11-24 12:53:00,1,518.42,15,4,1,2,7,Promising
12785,2010-12-10 13:48:00,1,255.95,364,1,1,1,3,Lost
12787,2011-11-30 08:44:00,3,418.66,10,4,3,2,9,Loyal
12789,2011-10-05 13:34:00,1,76.85,65,2,1,1,4,Needs Attention
12790,2011-05-31 14:14:00,1,294.92,192,1,1,1,3,Lost
12791,2010-12-01 11:27:00,1,177.60000000000002,374,1,1,1,3,Lost
12792,2011-03-28 11:36:00,1,344.53999999999996,257,1,1,2,4,Lost
12793,2011-01-09 12:12:00,2,461.48,335,1,2,2,5,Needs Attention
12794,2011-10-17 14:54:00,2,860.41,53,2,2,3,7,Needs Attention
12795,2011-11-21 10:27:00,1,318.48,19,3,1,2,6,Promising
12797,2010-12-09 10:55:00,1,226.03,366,1,1,1,3,Lost
12798,2011-11-29 15:52:00,3,6977.04,10,4,3,4,11,Loyal
12802,2011-06-06 09:36:00,1,397.58,187,1,1,2,4,Lost
12808,2011-11-03 10:05:00,3,455.65000000000003,37,3,3,2,8,Loyal
12809,2011-06-15 10:51:00,1,405.31,178,1,1,2,4,Lost
12811,2011-03-23 10:55:00,2,458.85,262,1,2,2,5,Needs Attention
